,name,code
110,Ciencias con mención en Física,col_20.500.12404_15958
111,Ciencias con mención en Ingeniería Biomédica,col_20.500.12404_16565
112,Ciencias con mención en Ingeniería Civil,col_20.500.12404_13336
113,Ciencias con mención en Ingeniería de las Telecomunicaciones,col_20.500.12404_15959
114,Ciencias con mención en Ingeniería de Minas,col_20.500.12404_15918
115,Ciencias con mención en Ingeniería Electrónica,col_20.500.12404_15941
116,Ciencias con mención en Ingeniería Geológica,col_20.500.12404_15646
117,Ciencias con mención en Ingeniería Industrial,col_20.500.12404_15820
118,Ciencias con mención en Ingeniería Informática,col_20.500.12404_15964
119,Ciencias con mención en Ingeniería Mecánica,col_20.500.12404_15924
120,Ciencias con mención en Ingeniería Mecatrónica,col_20.500.12404_15843
121,Ciencias con mención en Matemáticas,col_20.500.12404_15962
122,Ciencias con mención en Química,col_20.500.12404_15917
123,Ciencias de la Educación (Dr.),col_20.500.12404_6239
124,Ciencias de la Información,col_20.500.12404_29
125,Ciencias (Dr.),col_20.500.12404_7484
126,Ciencias Sociales con mención en Antropología,col_20.500.12404_15969
127,Ciencias Sociales con mención en Ciencia Política y Gobierno,col_20.500.12404_15970
128,Ciencias Sociales con mención en Economía,col_20.500.12404_15864
129,Ciencias Sociales con mención en Finanzas,col_20.500.12404_15971
130,Ciencias Sociales con mención en Relaciones Internacionales,col_20.500.12404_15972
131,Ciencias Sociales con mención en Sociología,col_20.500.12404_5220
132,Ciencias y Artes de la Comunicación con mención en Comunicación Audiovisual,col_20.500.12404_16053
133,Ciencias y Artes de la Comunicación con mención en Comunicación para el Desarrollo,col_20.500.12404_15906
134,Ciencias y Artes de la Comunicación con mención en Periodismo,col_20.500.12404_16112
135,Ciencias y Artes de la Comunicación con mención en Publicidad,col_20.500.12404_16111
136,Ciencias y Artes de la Hospitalidad : Hotelería,col_20.500.12404_16545
137,Ciencias y Artes de la Hospitalidad : Turismo,col_20.500.12404_16546
138,Clínica Psicoanalítica,col_20.500.12404_16529
139,"Cognición, Aprendizaje y Desarrollo",col_20.500.12404_6323
140,Comunicación Audiovisual,col_20.500.12404_949
141,Comunicación en Salud,col_20.500.12404_16489
142,Comunicaciones,col_20.500.12404_747
143,Comunicación para el Desarrollo,col_20.500.12404_950
144,Contabilidad,col_20.500.12404_14930
145,Contabilidad,col_20.500.12404_8
146,Contabilidad,col_20.500.12404_13621
147,Contabilidad Pública,col_20.500.12404_12870
148,Creación y Producción Escénica,col_20.500.12404_16470
149,Danza,col_20.500.12404_12312
150,Derecho Administrativo,col_20.500.12404_11760
151,Derecho Ambiental y de los Recursos Naturales,col_20.500.12404_8341
152,Derecho Bancario y  Financiero,col_20.500.12404_4725
153,Derecho Bancario y Financiero con mención en Gestión Financiera,col_20.500.12404_5832
154,Derecho Bancario y Financiero con mención en Regulación Bancaria,col_20.500.12404_16490
155,Derecho (Br.),col_20.500.12404_1256
156,Derecho Civil,col_20.500.12404_748
157,Derecho con mención en Derecho Civil,col_20.500.12404_13882
158,Derecho con mención en Derecho de la Empresa,col_20.500.12404_14190
159,Derecho con mención en Derecho del Trabajo y de la Seguridad Social,col_20.500.12404_16491
160,Derecho con mención en Política Jurisdiccional,col_20.500.12404_1464
161,Derecho con mención en Política Jurisdiccional Especialidad en Gestión y Política Judicial,col_20.500.12404_16492
162,Derecho Constitucional,col_20.500.12404_751
163,Derecho de la Empresa,col_20.500.12404_752
164,Derecho de la Empresa : Banca y Finanzas,col_20.500.12404_16494
165,Derecho de la Empresa con mención en Gestión Empresarial,col_20.500.12404_9733
166,Derecho de la Empresa con mención en Responsabilidad Social,col_20.500.12404_16493
167,Derecho de la Empresa : Regulación de Negocios,col_20.500.12404_16495
168,Derecho de la Propiedad Intelectual y de la Competencia,col_20.500.12404_1532
169,Derecho del Trabajo y de la Seguridad Social,col_20.500.12404_4446
170,Derecho del Trabajo y de la Seguridad Social,col_20.500.12404_8342
171,Derecho de Protección al Consumidor,col_20.500.12404_8529
172,Derecho (Dr.),col_20.500.12404_1398
173,Derecho Internacional Económico,col_20.500.12404_753
174,Derecho Internacional Privado,col_20.500.12404_16527
175,Derecho Internacional Público,col_20.500.12404_13871
176,Derecho (Lic.),col_20.500.12404_710
177,Derecho Penal,col_20.500.12404_1596
178,Derecho Procesal,col_20.500.12404_4663
179,Derecho Procesal,col_20.500.12404_9442
180,Derecho Procesal Laboral,col_20.500.12404_16526
181,Derecho Público y Buen Gobierno,col_20.500.12404_8527
